customer_id,full_name,dob,home_jurisdiction,customer_since
CUST0001,Marcus Webb,1986-12-27,US,2024-08-27T00:00:00
CUST0002,Elena Popov,2000-02-02,GB,2025-03-15T00:00:00
CUST0003,David Okafor,1986-05-16,CA,2024-02-09T00:00:00
CUST0004,Farid Nazari,1958-06-04,DE,2024-12-05T00:00:00
CUST0005,Nadia Petrova,1996-07-11,FR,2025-01-24T00:00:00
CUST0006,Melissa Marquez,1973-04-13,CH,2024-09-28T00:00:00
CUST0007,Amy Chandler,1996-03-04,CA,2021-09-03T00:00:00
CUST0008,Tim Patton,1974-01-03,SG,2022-10-25T00:00:00
CUST0009,Elizabeth Kelley,1950-07-25,US,2022-04-24T00:00:00
CUST0010,Alyssa Day,1958-04-11,CH,2021-04-29T00:00:00
CUST0011,Miss Debra Williams PhD,1977-05-11,NL,2021-09-26T00:00:00
CUST0012,Gregory Matthews,1986-12-17,GB,2023-05-02T00:00:00
CUST0013,Valerie Lozano,1993-01-05,AU,2022-05-27T00:00:00
CUST0014,Ms. Rebecca Rodriguez,1999-12-05,DE,2022-05-21T00:00:00
CUST0015,Andrea Decker,1955-11-08,NL,2025-05-05T00:00:00
CUST0016,Latoya Miller,1953-07-16,CA,2021-11-19T00:00:00
CUST0017,Emily Gonzales,1977-04-08,SG,2024-09-15T00:00:00
CUST0018,Helen Hardin,1972-08-15,JP,2018-12-05T00:00:00
CUST0019,Mrs. Diane Reyes,1980-08-09,AU,2018-06-03T00:00:00
CUST0020,Charles Johnson,2002-10-31,DE,2024-08-11T00:00:00
CUST0021,Lynn Cain,1954-02-19,CH,2024-01-19T00:00:00
CUST0022,Michael Bell,1952-12-14,NL,2019-07-28T00:00:00
CUST0023,Jennifer Banks,1964-10-07,CH,2025-03-11T00:00:00
CUST0024,Amanda Small,1981-08-21,NL,2022-12-23T00:00:00
CUST0025,Charles Clark,1969-01-25,SG,2025-02-25T00:00:00
CUST0026,Curtis Maynard,1968-11-05,SG,2025-04-20T00:00:00
CUST0027,Joshua Martin,1999-03-31,FR,2024-04-15T00:00:00
CUST0028,Robert Reese,1983-07-03,DE,2021-07-26T00:00:00
CUST0029,Donald Pineda,1991-11-13,CA,2021-10-04T00:00:00
CUST0030,Kristin Mendoza,2000-02-06,DE,2023-08-07T00:00:00
CUST0031,Janet Singh,1995-08-07,DE,2021-09-19T00:00:00
CUST0032,Juan Bennett,1961-02-15,AU,2021-01-15T00:00:00
CUST0033,Doris Neal,1978-07-12,JP,2018-01-11T00:00:00
CUST0034,Maria Lucas,2005-08-25,JP,2020-01-25T00:00:00
CUST0035,Christopher Roberts,1961-03-16,SG,2018-05-06T00:00:00
CUST0036,Kimberly Sherman PhD,1975-09-12,JP,2023-04-02T00:00:00
CUST0037,Derrick Clayton,1969-10-16,DE,2023-10-25T00:00:00
CUST0038,Danielle Newman,1964-09-07,US,2023-05-03T00:00:00
CUST0039,John Reyes,1959-02-04,JP,2023-11-27T00:00:00
CUST0040,Eddie Mueller,1992-09-11,FR,2019-02-04T00:00:00
CUST0041,Russell Murphy,1955-09-27,DE,2025-01-26T00:00:00
CUST0042,Alexander Harper,1952-03-18,AF,2019-01-20T00:00:00
CUST0043,Christina Anderson,1991-05-28,US,2018-06-25T00:00:00
CUST0044,Eric Barker,1957-10-19,KP,2018-11-28T00:00:00
CUST0045,Kaylee Moore,1968-04-10,NL,2017-11-28T00:00:00
CUST0046,Ronald Davis,1952-02-08,DE,2024-09-21T00:00:00
